ts,pair,open,high,low,close
2026-05-14 17:00:00+00:00,GBP_JPY,213.173,213.354,213.087,213.252
2026-05-14 18:00:00+00:00,GBP_JPY,213.252,213.296,213.043,213.06
2026-05-14 19:00:00+00:00,GBP_JPY,213.059,213.078,212.484,212.622
2026-05-14 20:00:00+00:00,GBP_JPY,212.622,212.656,212.135,212.141
2026-05-14 21:00:00+00:00,GBP_JPY,212.141,212.143,211.877,212.054
2026-05-14 22:00:00+00:00,GBP_JPY,212.054,212.217,212.05,212.192
2026-05-14 23:00:00+00:00,GBP_JPY,212.188,212.272,212.146,212.234
2026-05-15 00:00:00+00:00,GBP_JPY,212.129,212.234,212.015,212.128
2026-05-15 01:00:00+00:00,GBP_JPY,212.128,212.259,212.106,212.202
2026-05-15 02:00:00+00:00,GBP_JPY,212.202,212.22,212.044,212.078
2026-05-15 03:00:00+00:00,GBP_JPY,212.08,212.1,211.899,212.034
2026-05-15 04:00:00+00:00,GBP_JPY,212.034,212.044,211.768,211.897
2026-05-15 05:00:00+00:00,GBP_JPY,211.897,212.045,211.858,212.029
2026-05-15 06:00:00+00:00,GBP_JPY,212.029,212.044,211.949,211.988
2026-05-15 07:00:00+00:00,GBP_JPY,211.988,211.988,211.801,211.827
2026-05-15 08:00:00+00:00,GBP_JPY,211.827,211.834,211.591,211.622
2026-05-15 09:00:00+00:00,GBP_JPY,211.622,211.893,211.475,211.515
2026-05-15 10:00:00+00:00,GBP_JPY,211.516,211.807,211.501,211.748
2026-05-15 11:00:00+00:00,GBP_JPY,211.749,211.768,211.429,211.611
2026-05-15 12:00:00+00:00,GBP_JPY,211.611,211.626,211.288,211.581
2026-05-15 13:00:00+00:00,GBP_JPY,211.584,212.062,211.584,211.928
2026-05-15 14:00:00+00:00,GBP_JPY,211.928,212.057,211.827,211.842
2026-05-15 15:00:00+00:00,GBP_JPY,211.842,211.847,211.526,211.746
2026-05-15 16:00:00+00:00,GBP_JPY,211.746,211.887,211.66,211.7
2026-05-15 17:00:00+00:00,GBP_JPY,211.7,211.945,211.622,211.623
2026-05-15 18:00:00+00:00,GBP_JPY,211.623,211.702,211.328,211.55
2026-05-15 19:00:00+00:00,GBP_JPY,211.55,211.619,211.373,211.563
2026-05-15 20:00:00+00:00,GBP_JPY,211.562,211.621,211.461,211.555
2026-05-15 21:00:00+00:00,GBP_JPY,211.553,211.583,211.4,211.421
2026-05-15 22:00:00+00:00,GBP_JPY,211.419,211.488,211.395,211.46
2026-05-15 23:00:00+00:00,GBP_JPY,211.455,211.569,211.392,211.545
2026-05-18 00:00:00+00:00,GBP_JPY,211.284,211.463,211.192,211.374
2026-05-18 01:00:00+00:00,GBP_JPY,211.374,211.568,211.321,211.444
2026-05-18 02:00:00+00:00,GBP_JPY,211.444,211.548,211.408,211.417
2026-05-18 03:00:00+00:00,GBP_JPY,211.417,211.557,211.376,211.516
2026-05-18 04:00:00+00:00,GBP_JPY,211.516,211.572,211.387,211.56
2026-05-18 05:00:00+00:00,GBP_JPY,211.559,211.584,211.454,211.485
2026-05-18 06:00:00+00:00,GBP_JPY,211.485,211.738,211.48,211.722
